deltas,alphas,results
29,3,0.07399999999999995
30,3,0.07399999999999995
31,3,0.07399999999999995
32,3,0.07399999999999995
33,3,0.07399999999999995
34,3,0.07399999999999995
35,3,0.07399999999999995
36,3,0.07399999999999995
37,3,0.07399999999999995
38,3,0.07399999999999995
39,3,0.07399999999999995
40,3,0.07399999999999995
41,3,0.07399999999999995
42,3,0.07399999999999995
43,3,0.07399999999999995
44,3,0.07399999999999995
45,3,0.07399999999999995
46,3,0.07399999999999995
47,3,0.07399999999999995
48,3,0.07399999999999995
49,3,0.07399999999999995
50,3,0.07399999999999995
1,4,0.03700000000000003
2,4,0.03700000000000003
3,4,0.03700000000000003
4,4,0.030000000000000027
5,4,0.07399999999999995
6,4,0.07399999999999995
7,4,0.07399999999999995
8,4,0.07399999999999995
9,4,0.07399999999999995
10,4,0.07399999999999995
11,4,0.07399999999999995
12,4,0.07399999999999995
13,4,0.07399999999999995
14,4,0.07399999999999995
15,4,0.07399999999999995
16,4,0.07399999999999995
17,4,0.07399999999999995
18,4,0.07399999999999995
19,4,0.07399999999999995
20,4,0.07399999999999995
21,4,0.07399999999999995
22,4,0.07399999999999995
23,4,0.07399999999999995
24,4,0.07399999999999995
25,4,0.07399999999999995
26,4,0.07399999999999995
27,4,0.07399999999999995
28,4,0.07399999999999995
29,4,0.07399999999999995
30,4,0.07399999999999995
31,4,0.07399999999999995
32,4,0.07399999999999995
33,4,0.07399999999999995
34,4,0.07399999999999995
35,4,0.07399999999999995
36,4,0.07399999999999995
37,4,0.07399999999999995
38,4,0.07399999999999995
39,4,0.07399999999999995
40,4,0.07399999999999995
41,4,0.07399999999999995
42,4,0.07399999999999995
43,4,0.07399999999999995
44,4,0.07399999999999995
45,4,0.07399999999999995
46,4,0.07399999999999995
47,4,0.07399999999999995
48,4,0.07399999999999995
49,4,0.07399999999999995
50,4,0.07399999999999995
1,5,0.03700000000000003
2,5,0.03700000000000003
3,5,0.03700000000000003
4,5,0.03700000000000003
5,5,0.030000000000000027
6,5,0.07399999999999995
7,5,0.07399999999999995
8,5,0.07399999999999995
9,5,0.07399999999999995
10,5,0.07399999999999995
11,5,0.07399999999999995
12,5,0.07399999999999995
13,5,0.07399999999999995
14,5,0.07399999999999995
15,5,0.07399999999999995
16,5,0.07399999999999995
17,5,0.07399999999999995
18,5,0.07399999999999995
19,5,0.07399999999999995
20,5,0.07399999999999995
21,5,0.07399999999999995
22,5,0.07399999999999995
23,5,0.07399999999999995
24,5,0.07399999999999995
25,5,0.07399999999999995
26,5,0.07399999999999995
27,5,0.07399999999999995
28,5,0.07399999999999995
29,5,0.07399999999999995
30,5,0.07399999999999995
31,5,0.07399999999999995
32,5,0.07399999999999995
33,5,0.07399999999999995
34,5,0.07399999999999995
35,5,0.07399999999999995
36,5,0.07399999999999995
37,5,0.07399999999999995
38,5,0.07399999999999995
39,5,0.07399999999999995
40,5,0.07399999999999995
41,5,0.07399999999999995
42,5,0.07399999999999995
43,5,0.07399999999999995
44,5,0.07399999999999995
45,5,0.07399999999999995
46,5,0.07399999999999995
47,5,0.07399999999999995
48,5,0.07399999999999995
49,5,0.07399999999999995
50,5,0.07399999999999995
1,6,0.03700000000000003
2,6,0.03700000000000003
3,6,0.03700000000000003
4,6,0.03700000000000003
5,6,0.03700000000000003
6,6,0.030000000000000027
7,6,0.07399999999999995
8,6,0.07399999999999995
9,6,0.07399999999999995
10,6,0.07399999999999995
11,6,0.07399999999999995
12,6,0.07399999999999995
13,6,0.07399999999999995
14,6,0.07399999999999995
15,6,0.07399999999999995
16,6,0.07399999999999995
17,6,0.07399999999999995
18,6,0.07399999999999995
19,6,0.07399999999999995
20,6,0.07399999999999995
21,6,0.07399999999999995
22,6,0.07399999999999995
23,6,0.07399999999999995
24,6,0.07399999999999995
25,6,0.07399999999999995
26,6,0.07399999999999995
27,6,0.07399999999999995
28,6,0.07399999999999995
29,6,0.07399999999999995
30,6,0.07399999999999995
31,6,0.07399999999999995
32,6,0.07399999999999995
33,6,0.07399999999999995
34,6,0.07399999999999995
35,6,0.07399999999999995
36,6,0.07399999999999995
37,6,0.07399999999999995
38,6,0.07399999999999995
39,6,0.07399999999999995
40,6,0.07399999999999995
41,6,0.07399999999999995
42,6,0.07399999999999995
43,6,0.07399999999999995
44,6,0.07399999999999995
45,6,0.07399999999999995
46,6,0.07399999999999995
47,6,0.07399999999999995
48,6,0.07399999999999995
49,6,0.07399999999999995
50,6,0.07399999999999995
1,7,0.03700000000000003
2,7,0.03700000000000003
3,7,0.03700000000000003
4,7,0.03700000000000003
5,7,0.03700000000000003
6,7,0.03700000000000003
7,7,0.030000000000000027
8,7,0.07399999999999995
9,7,0.07399999999999995
10,7,0.07399999999999995
11,7,0.07399999999999995
12,7,0.07399999999999995
13,7,0.07399999999999995
14,7,0.07399999999999995
15,7,0.07399999999999995
16,7,0.07399999999999995
